# Intermediate CAs in the cabinet that this store does not carry, with the reason.
# Written by certval-store-gen; a change here is a change in what the publisher ships,
# not in this crate.
#
# unrooted     the cabinet includes the CA but not its issuer, so nothing roots it
# unvalidated  a path to a root exists and none validated as of the publication date;
#              an InvalidNotAfterDate here is a CA the publisher shipped already lapsed
unvalidated  Microsoft_NCU-ATML-KEYID-81B5D99CBFAC98C5D61A8EBF26A86A086BFA3ECE_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-A0854BD197F8212FACBA38991BFDDBF5D13CE9CE_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-CD3401AC6E1C6F93DDD869D46A518311B3747895_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-D6F56ECFCF7EDDB7FD87ED01E127EE009A463BC9_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-E0028D87CE6C67A8751CC4B5D74F57622E75E42A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-F761A3A1F408F1090797B87127C2A2397C0ACA24_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-11227AB228983289AD2E7EE6841321901EF592F6_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-128462F2A0D16CDE1946F1000544B055BC113D10_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-1BD645FC1F90827C283E6CB526859FFAB0E0C62B_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-1DDE0F406D122C3E5A4F861F94876C9E1ACDD37E_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-1FCDFB8ECE408675D963E5E5108D55C984DD797A_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-22BF9BF4978F4F45A4E9DBF729D8A08ADCA0A82C_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-265CF32470FC4D93C7022FA34AB4C8087948454B_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-IFX-KEYID-2A4A698325A1B220464EF009B01892268B25F84F_2  Some(PathValidation(InvalidNotAfterDate))
